symbol,date,positive_pct,neutral_pct,negative_pct,outlook
AAPL,2025-08-15,55.0,35.0,10.0,positive
ABBV,2025-08-15,50.0,40.0,10.0,positive
ABT,2025-08-15,0.0,100.0,0.0,neutral
AMD,2025-08-15,35.0,45.0,20.0,neutral
AVGO,2025-08-15,50.0,30.0,20.0,positive
AXP,2025-08-15,100.0,0.0,0.0,positive
AZN,2025-08-15,100.0,0.0,0.0,positive
BABA,2025-08-15,20.0,30.0,50.0,negative
BAC,2025-08-15,25.0,65.0,10.0,negative
BX,2025-08-15,0.0,0.0,100.0,negative
COST,2025-08-15,0.0,100.0,0.0,neutral
CRM,2025-08-15,30.0,50.0,20.0,neutral
CVX,2025-08-15,0.0,100.0,0.0,neutral
DIS,2025-08-15,46.0,38.0,16.0,positive
GE,2025-08-15,50.0,33.33,0.0,positive
GS,2025-08-15,0.0,100.0,0.0,neutral
HD,2025-08-15,40.0,50.0,10.0,neutral
HSBC,2025-08-15,0.0,0.0,0.0,neutral
IBM,2025-08-15,35.0,55.0,10.0,neutral
INTU,2025-08-15,75.0,25.0,0.0,positive
JNJ,2025-08-15,50.0,50.0,0.0,neutral
JPM,2025-08-15,40.0,40.0,20.0,neutral
KO,2025-08-15,100.0,0.0,0.0,positive
LIN,2025-08-15,0.0,100.0,0.0,neutral
MA,2025-08-15,0.0,50.0,50.0,neutral
MCD,2025-08-15,85.0,10.0,5.0,positive
META,2025-08-15,46.67,33.33,10.0,positive
MRK,2025-08-15,50.0,50.0,0.0,neutral
MS,2025-08-15,75.0,25.0,0.0,positive
MSFT,2025-08-15,65.0,25.0,10.0,positive
NVDA,2025-08-15,55.0,35.0,10.0,positive
NVS,2025-08-15,100.0,0.0,0.0,positive
NVO,2025-08-15,0.0,100.0,0.0,neutral
PFE,2025-08-15,92.5,5.0,2.5,positive
PG,2025-08-15,40.0,60.0,0.0,neutral
PLTR,2025-08-15,78.33,13.33,8.33,positive
PM,2025-08-15,0.0,0.0,0.0,neutral
RTX,2025-08-15,75.0,25.0,0.0,positive
SAP,2025-08-15,0.0,0.0,100.0,negative
SHEL,2025-08-15,0.0,100.0,0.0,neutral
T,2025-08-15,0.0,100.0,0.0,neutral
TM,2025-08-15,0.0,100.0,0.0,neutral
TSLA,2025-08-15,65.0,25.0,10.0,positive
TSM,2025-08-15,53.33,33.33,13.33,positive
UNH,2025-08-15,70.0,20.0,10.0,positive
V,2025-08-15,0.0,100.0,0.0,neutral
WFC,2025-08-15,0.0,0.0,100.0,negative
WMT,2025-08-15,40.0,35.0,25.0,neutral
GLD,2025-08-15,80.0,20.0,0.0,positive
IBIT,2025-08-15,33.33,66.67,0.0,neutral
TLT,2025-08-15,100.0,0.0,0.0,positive
HYG,2025-08-15,0.0,100.0,0.0,neutral
FXY,2025-08-15,0.0,100.0,0.0,neutral
QQQ,2025-08-15,0.0,0.0,0.0,neutral
