symbol,date,positive_pct,neutral_pct,negative_pct,outlook
ABBV,2025-08-14,100.0,0.0,0.0,positive
ABT,2025-08-14,100.0,0.0,0.0,positive
AMD,2025-08-14,35.0,55.0,10.0,negative
AVGO,2025-08-14,55.0,30.0,15.0,positive
AXP,2025-08-14,40.0,60.0,0.0,neutral
AZN,2025-08-14,100.0,0.0,0.0,positive
BABA,2025-08-14,50.0,30.0,20.0,positive
BAC,2025-08-14,0.0,0.0,0.0,neutral
BX,2025-08-14,30.0,40.0,30.0,positive
CRM,2025-08-14,0.0,0.0,0.0,positive
DIS,2025-08-14,53.33,46.67,0.0,positive
GE,2025-08-14,0.75,0.25,0.0,positive
GOOG,2025-08-14,35.0,45.0,20.0,neutral
GS,2025-08-14,25.0,65.0,10.0,negative
HD,2025-08-14,100.0,0.0,0.0,positive
HSBC,2025-08-14,0.0,0.0,0.0,neutral
IBM,2025-08-14,90.0,10.0,0.0,positive
INTU,2025-08-14,0.0,100.0,0.0,neutral
JNJ,2025-08-14,83.33,16.67,0.0,positive
KO,2025-08-14,80.0,20.0,0.0,positive
LIN,2025-08-14,0.0,50.0,50.0,neutral
LLY,2025-08-14,35.0,55.0,10.0,neutral
MA,2025-08-14,80.0,20.0,0.0,positive
META,2025-08-14,55.0,35.0,10.0,positive
MRK,2025-08-14,50.0,30.0,20.0,positive
MS,2025-08-14,0.0,0.0,0.0,neutral
MSFT,2025-08-14,64.0,28.0,8.0,positive
NVDA,2025-08-14,75.0,15.0,10.0,positive
NVS,2025-08-14,100.0,0.0,0.0,positive
NVO,2025-08-14,0.75,0.25,0.0,positive
PFE,2025-08-14,95.0,5.0,0.0,positive
PG,2025-08-14,0.0,100.0,0.0,neutral
PLTR,2025-08-14,92.5,5.0,2.5,positive
PM,2025-08-14,80.0,10.0,10.0,positive
RTX,2025-08-14,0.0,50.0,50.0,neutral
SAP,2025-08-14,0.0,0.0,100.0,negative
SHEL,2025-08-14,0.0,0.0,100.0,negative
T,2025-08-14,40.0,40.0,20.0,neutral
TM,2025-08-14,0.0,100.0,0.0,neutral
TMUS,2025-08-14,0.0,100.0,0.0,neutral
TSLA,2025-08-14,55.0,35.0,10.0,positive
TSM,2025-08-14,50.0,40.0,10.0,positive
UNH,2025-08-14,90.0,0.0,0.0,positive
V,2025-08-14,80.0,20.0,0.0,positive
WMT,2025-08-14,40.0,35.0,25.0,positive
GLD,2025-08-14,33.33,33.33,33.33,neutral
IBIT,2025-08-14,0.0,100.0,0.0,neutral
TLT,2025-08-14,100.0,0.0,0.0,positive
HYG,2025-08-14,0.0,100.0,0.0,neutral
FXY,2025-08-14,0.0,100.0,0.0,neutral
SPY,2025-08-14,0.0,100.0,0.0,neutral
QQQ,2025-08-14,0.0,100.0,0.0,neutral
IWM,2025-08-14,100.0,0.0,0.0,positive
