date,symbol,OSa,OBa,Indicator,Reversal_Score,Bullish_Signal_Count,Bearish_Signal_Count
2025-08-12,AAPL,-0.0,6.0,6.0,1,2,1
2025-08-12,ABBV,-0.0,4.0,4.0,0,0,0
2025-08-12,ABT,-0.0,4.0,4.0,-1,1,2
2025-08-12,AMD,-0.0,2.0,2.0,0,2,2
2025-08-12,AMZN,-0.0,0.0,0.0,1,1,0
2025-08-12,ASML,-0.0,3.0,3.0,0,1,1
2025-08-12,AVGO,-0.0,5.0,5.0,0,1,1
2025-08-12,AXP,-0.0,1.0,1.0,2,3,1
2025-08-12,AZN,-0.0,1.0,1.0,1,2,1
2025-08-12,BABA,-0.0,0.0,0.0,0,1,1
2025-08-12,BAC,-0.0,1.0,1.0,0,1,1
2025-08-12,BRK-B,-0.0,0.0,0.0,1,3,2
2025-08-12,BX,-0.0,0.0,0.0,1,3,2
2025-08-12,COST,-0.0,6.0,6.0,-1,2,3
2025-08-12,CRM,-6.0,0.0,-6.0,2,3,1
2025-08-12,CSCO,-0.0,5.0,5.0,0,2,2
2025-08-12,CVX,-0.0,0.0,0.0,2,3,1
2025-08-12,DIS,-4.0,0.0,-4.0,1,1,0
2025-08-12,GE,-0.0,4.0,4.0,1,2,1
2025-08-12,GOOG,-0.0,4.0,4.0,2,4,2
2025-08-12,GS,-0.0,1.0,1.0,2,4,2
2025-08-12,HD,-0.0,4.0,4.0,-1,0,1
2025-08-12,HSBC,-0.0,4.0,4.0,0,0,0
2025-08-12,IBM,-3.0,0.0,-3.0,0,1,1
2025-08-12,INTU,-6.0,0.0,-6.0,1,2,1
2025-08-12,JNJ,-0.0,4.0,4.0,0,1,1
2025-08-12,JPM,-0.0,0.0,0.0,3,3,0
2025-08-12,KO,-0.0,4.0,4.0,2,3,1
2025-08-12,LIN,-0.0,4.0,4.0,1,2,1
2025-08-12,LLY,-5.0,0.0,-5.0,1,2,1
2025-08-12,MA,-0.0,3.0,3.0,2,3,1
2025-08-12,MCD,-0.0,0.0,0.0,0,1,1
2025-08-12,META,-0.0,0.0,0.0,1,3,2
2025-08-12,MRK,-0.0,0.0,0.0,0,1,1
2025-08-12,MS,-0.0,5.0,5.0,2,3,1
2025-08-12,MSFT,-4.0,0.0,-4.0,0,0,0
2025-08-12,NFLX,-0.0,4.0,4.0,0,1,1
2025-08-12,NVDA,-0.0,4.0,4.0,0,1,1
2025-08-12,NVS,-0.0,2.0,2.0,0,1,1
2025-08-12,NVO,-0.0,3.0,3.0,0,1,1
2025-08-12,ORCL,-0.0,0.0,0.0,2,3,1
2025-08-12,PFE,-0.0,2.0,2.0,1,2,1
2025-08-12,PG,-0.0,4.0,4.0,0,1,1
2025-08-12,PLTR,-0.0,4.0,4.0,0,1,1
2025-08-12,PM,-0.0,4.0,4.0,0,1,1
2025-08-12,RTX,-0.0,0.0,0.0,-1,0,1
2025-08-12,SAP,-0.0,0.0,0.0,0,2,2
2025-08-12,SHEL,-4.0,0.0,-4.0,0,0,0
2025-08-12,T,-0.0,5.0,5.0,-1,2,3
2025-08-12,TM,-0.0,4.0,4.0,0,1,1
2025-08-12,TMUS,-0.0,4.0,4.0,-1,1,2
2025-08-12,TSLA,-0.0,4.0,4.0,-2,2,4
2025-08-12,TSM,-0.0,2.0,2.0,0,1,1
2025-08-12,UNH,-0.0,2.0,2.0,0,2,2
2025-08-12,V,-0.0,0.0,0.0,1,2,1
2025-08-12,WFC,-0.0,1.0,1.0,0,2,2
2025-08-12,WMT,-0.0,4.0,4.0,0,2,2
2025-08-12,XOM,-4.0,0.0,-4.0,2,3,1
2025-08-12,GLD,-0.0,0.0,0.0,2,2,0
2025-08-12,IBIT,-0.0,3.0,3.0,0,0,0
2025-08-12,COIN,-0.0,0.0,0.0,-1,1,2
2025-08-12,TLT,-1.0,0.0,-1.0,0,1,1
2025-08-12,HYG,-0.0,0.0,0.0,0,1,1
2025-08-12,FXY,-1.0,0.0,-1.0,0,3,3
2025-08-12,SPY,-0.0,5.0,5.0,0,0,0
2025-08-12,QQQ,-0.0,5.0,5.0,0,1,1
2025-08-12,IWM,-0.0,0.0,0.0,0,3,3
