date,symbol,OSa,OBa,Indicator,Reversal_Score,Bullish_Signal_Count,Bearish_Signal_Count
2025-08-15,AAPL,-0.0,4.0,4.0,1,1,0
2025-08-15,ABBV,-0.0,5.0,5.0,-1,0,1
2025-08-15,ABT,-3.0,0.0,-3.0,2,2,0
2025-08-15,AMD,-0.0,4.0,4.0,0,2,2
2025-08-15,AMZN,-0.0,3.0,3.0,0,1,1
2025-08-15,ASML,-0.0,4.0,4.0,0,0,0
2025-08-15,AVGO,-0.0,0.0,0.0,-1,2,3
2025-08-15,AXP,-0.0,4.0,4.0,0,2,2
2025-08-15,AZN,-0.0,4.0,4.0,-1,1,2
2025-08-15,BABA,-0.0,0.0,0.0,0,1,1
2025-08-15,BAC,-0.0,4.0,4.0,-1,2,3
2025-08-15,BRK-B,-0.0,4.0,4.0,-1,1,2
2025-08-15,BX,-0.0,4.0,4.0,0,1,1
2025-08-15,COST,-1.0,0.0,-1.0,-1,0,1
2025-08-15,CRM,-0.0,0.0,0.0,1,2,1
2025-08-15,CSCO,-1.0,0.0,-1.0,0,2,2
2025-08-15,CVX,-0.0,4.0,4.0,2,4,2
2025-08-15,DIS,-0.0,2.0,2.0,2,3,1
2025-08-15,GE,-1.0,0.0,-1.0,1,3,2
2025-08-15,GOOG,-0.0,4.0,4.0,2,2,0
2025-08-15,GS,-0.0,3.0,3.0,0,2,2
2025-08-15,HD,-0.0,4.0,4.0,2,3,1
2025-08-15,HSBC,-0.0,4.0,4.0,0,1,1
2025-08-15,IBM,-4.0,0.0,-4.0,1,2,1
2025-08-15,INTU,-4.0,0.0,-4.0,1,2,1
2025-08-15,JNJ,-0.0,4.0,4.0,0,1,1
2025-08-15,JPM,-0.0,0.0,0.0,0,3,3
2025-08-15,KO,-0.0,0.0,0.0,1,3,2
2025-08-15,LIN,-0.0,5.0,5.0,0,1,1
2025-08-15,LLY,-0.0,1.0,1.0,1,1,0
2025-08-15,MA,-0.0,5.0,5.0,0,0,0
2025-08-15,MCD,-0.0,1.0,1.0,-1,1,2
2025-08-15,META,-0.0,0.0,0.0,1,2,1
2025-08-15,MRK,-0.0,3.0,3.0,-1,1,2
2025-08-15,MS,-0.0,5.0,5.0,0,2,2
2025-08-15,MSFT,-1.0,0.0,-1.0,2,4,2
2025-08-15,NFLX,-0.0,4.0,4.0,0,1,1
2025-08-15,NVDA,-0.0,0.0,0.0,0,1,1
2025-08-15,NVS,-0.0,6.0,6.0,0,0,0
2025-08-15,NVO,-0.0,4.0,4.0,0,2,2
2025-08-15,ORCL,-1.0,0.0,-1.0,2,4,2
2025-08-15,PFE,-0.0,4.0,4.0,2,4,2
2025-08-15,PG,-0.0,0.0,0.0,-1,1,2
2025-08-15,PLTR,-0.0,0.0,0.0,0,2,2
2025-08-15,PM,-1.0,0.0,-1.0,0,2,2
2025-08-15,RTX,-0.0,0.0,0.0,0,1,1
2025-08-15,SAP,-0.0,0.0,0.0,0,1,1
2025-08-15,SHEL,-0.0,3.0,3.0,0,1,1
2025-08-15,T,-0.0,6.0,6.0,0,2,2
2025-08-15,TM,-0.0,4.0,4.0,0,0,0
2025-08-15,TMUS,-0.0,4.0,4.0,0,1,1
2025-08-15,TSLA,-0.0,0.0,0.0,-1,0,1
2025-08-15,TSM,-0.0,0.0,0.0,1,3,2
2025-08-15,UNH,-0.0,5.0,5.0,-2,1,3
2025-08-15,V,-0.0,4.0,4.0,0,2,2
2025-08-15,WFC,-0.0,0.0,0.0,0,2,2
2025-08-15,WMT,-3.0,0.0,-3.0,0,1,1
2025-08-15,XOM,-0.0,1.0,1.0,2,4,2
2025-08-15,GLD,-3.0,0.0,-3.0,2,2,0
2025-08-15,IBIT,-0.0,0.0,0.0,0,1,1
2025-08-15,COIN,-0.0,0.0,0.0,1,3,2
2025-08-15,TLT,-0.0,0.0,0.0,0,2,2
2025-08-15,HYG,-0.0,4.0,4.0,1,2,1
2025-08-15,FXY,-0.0,0.0,0.0,0,2,2
2025-08-15,SPY,-0.0,4.0,4.0,0,1,1
2025-08-15,QQQ,-0.0,4.0,4.0,0,1,1
2025-08-15,IWM,-0.0,4.0,4.0,0,1,1
