date,symbol,OSa,OBa,Indicator,Reversal_Score,Bullish_Signal_Count,Bearish_Signal_Count
2025-08-14,AAPL,-0.0,5.0,5.0,1,1,0
2025-08-14,ABBV,-0.0,4.0,4.0,0,0,0
2025-08-14,ABT,-2.0,0.0,-2.0,0,1,1
2025-08-14,AMD,-0.0,4.0,4.0,0,2,2
2025-08-14,AMZN,-0.0,2.0,2.0,0,1,1
2025-08-14,ASML,-0.0,4.0,4.0,0,2,2
2025-08-14,AVGO,-0.0,4.0,4.0,-1,2,3
2025-08-14,AXP,-0.0,4.0,4.0,2,3,1
2025-08-14,AZN,-0.0,5.0,5.0,0,1,1
2025-08-14,BABA,-0.0,4.0,4.0,0,1,1
2025-08-14,BAC,-0.0,4.0,4.0,0,0,0
2025-08-14,BRK-B,-0.0,1.0,1.0,1,2,1
2025-08-14,BX,-0.0,3.0,3.0,1,2,1
2025-08-14,COST,-0.0,4.0,4.0,-1,0,1
2025-08-14,CRM,-4.0,0.0,-4.0,1,2,1
2025-08-14,CSCO,-0.0,0.0,0.0,0,4,4
2025-08-14,CVX,-0.0,2.0,2.0,2,3,1
2025-08-14,DIS,-0.0,0.0,0.0,2,3,1
2025-08-14,GE,-0.0,0.0,0.0,2,4,2
2025-08-14,GOOG,-0.0,4.0,4.0,2,3,1
2025-08-14,GS,-0.0,2.0,2.0,1,2,1
2025-08-14,HD,-0.0,5.0,5.0,1,1,0
2025-08-14,HSBC,-0.0,4.0,4.0,0,0,0
2025-08-14,IBM,-4.0,0.0,-4.0,2,3,1
2025-08-14,INTU,-4.0,0.0,-4.0,1,1,0
2025-08-14,JNJ,-0.0,4.0,4.0,1,3,2
2025-08-14,JPM,-0.0,0.0,0.0,3,4,1
2025-08-14,KO,-0.0,4.0,4.0,2,4,2
2025-08-14,LIN,-0.0,3.0,3.0,0,3,3
2025-08-14,LLY,-0.0,0.0,0.0,0,2,2
2025-08-14,MA,-0.0,4.0,4.0,0,0,0
2025-08-14,MCD,-0.0,0.0,0.0,-1,1,2
2025-08-14,META,-0.0,1.0,1.0,2,4,2
2025-08-14,MRK,-0.0,1.0,1.0,0,1,1
2025-08-14,MS,-0.0,6.0,6.0,0,0,0
2025-08-14,MSFT,-0.0,0.0,0.0,1,3,2
2025-08-14,NFLX,-0.0,4.0,4.0,0,1,1
2025-08-14,NVDA,-0.0,4.0,4.0,0,1,1
2025-08-14,NVS,-0.0,6.0,6.0,0,0,0
2025-08-14,NVO,-0.0,4.0,4.0,0,2,2
2025-08-14,ORCL,-0.0,0.0,0.0,2,4,2
2025-08-14,PFE,-0.0,4.0,4.0,1,2,1
2025-08-14,PG,-0.0,4.0,4.0,-1,1,2
2025-08-14,PLTR,-0.0,4.0,4.0,1,3,2
2025-08-14,PM,-0.0,0.0,0.0,0,1,1
2025-08-14,RTX,-0.0,0.0,0.0,-1,0,1
2025-08-14,SAP,-0.0,0.0,0.0,0,1,1
2025-08-14,SHEL,-0.0,0.0,0.0,0,0,0
2025-08-14,T,-0.0,4.0,4.0,-1,2,3
2025-08-14,TM,-0.0,4.0,4.0,0,1,1
2025-08-14,TMUS,-0.0,4.0,4.0,-1,1,2
2025-08-14,TSLA,-0.0,4.0,4.0,-1,2,3
2025-08-14,TSM,-0.0,0.0,0.0,0,4,4
2025-08-14,UNH,-0.0,4.0,4.0,-1,1,2
2025-08-14,V,-0.0,2.0,2.0,1,3,2
2025-08-14,WFC,-0.0,4.0,4.0,0,2,2
2025-08-14,WMT,-1.0,0.0,-1.0,1,2,1
2025-08-14,XOM,-0.0,0.0,0.0,3,4,1
2025-08-14,GLD,-2.0,0.0,-2.0,2,2,0
2025-08-14,IBIT,-0.0,5.0,5.0,0,0,0
2025-08-14,COIN,-0.0,0.0,0.0,1,3,2
2025-08-14,TLT,-0.0,0.0,0.0,0,2,2
2025-08-14,HYG,-0.0,4.0,4.0,1,3,2
2025-08-14,FXY,-0.0,0.0,0.0,0,3,3
2025-08-14,SPY,-0.0,5.0,5.0,0,0,0
2025-08-14,QQQ,-0.0,5.0,5.0,0,1,1
2025-08-14,IWM,-0.0,4.0,4.0,1,1,0
